countyFIPS,County Name,police,fire,emt,home_health,long_term_care,hospital_staff,outpatient,hospital_patients,police_isolation_mask,police_isolation_gown,police_n95_respirator,police_face_shield,police_goggles,police_sterile_exam_gloves,police_non-sterile_exam_gloves,police_bouffant,police_shoe_covers,fire_isolation_mask,fire_isolation_gown,fire_n95_respirator,fire_face_shield,fire_goggles,fire_sterile_exam_gloves,fire_non-sterile_exam_gloves,fire_bouffant,fire_shoe_covers,emt_isolation_mask,emt_isolation_gown,emt_n95_respirator,emt_face_shield,emt_goggles,emt_sterile_exam_gloves,emt_non-sterile_exam_gloves,emt_bouffant,emt_shoe_covers,long_term_care_isolation_mask,long_term_care_isolation_gown,long_term_care_n95_respirator,long_term_care_face_shield,long_term_care_goggles,long_term_care_sterile_exam_gloves,long_term_care_non-sterile_exam_gloves,long_term_care_bouffant,long_term_care_shoe_covers,home_health_isolation_mask,home_health_isolation_gown,home_health_n95_respirator,home_health_face_shield,home_health_goggles,home_health_sterile_exam_gloves,home_health_non-sterile_exam_gloves,home_health_bouffant,home_health_shoe_covers,hospital_staff_isolation_mask,hospital_staff_isolation_gown,hospital_staff_n95_respirator,hospital_staff_face_shield,hospital_staff_goggles,hospital_staff_sterile_exam_gloves,hospital_staff_non-sterile_exam_gloves,hospital_staff_bouffant,hospital_staff_shoe_covers,hospital_patients_isolation_mask,hospital_patients_isolation_gown,hospital_patients_n95_respirator,hospital_patients_face_shield,hospital_patients_goggles,hospital_patients_sterile_exam_gloves,hospital_patients_non-sterile_exam_gloves,hospital_patients_bouffant,hospital_patients_shoe_covers,State
01001,Autauga County,185.58643413967692,112.24985935867556,59.8665916579603,139.9488380895211,240.13688346518745,629.0464437990593,277.0733421259671,85.0,107.64013180101261,0.0,322.9203954030378,0.0,0.0,0.0,322.9203954030378,0.0,0.0,32.92662541187816,0.0,98.7798762356345,0.0,0.0,0.0,98.7798762356345,0.0,0.0,17.56086688633502,245.8521364086903,87.8043344316751,0.0,0.0,0.0,122.92606820434516,0.0,0.0,2605.4851855972834,347.3980247463045,347.3980247463045,0.0,0.0,0.0,2605.4851855972834,0.0,0.0,607.3779573085214,0.0,202.4593191028405,0.0,0.0,0.0,607.3779573085214,0.0,0.0,1044.2170967064383,301.9422930235484,62.90464437990593,0.0,0.0,0.0,15487.12344633284,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01003,Baldwin County,460.0,180.0,230.0,453.8360687358476,678.5202048271444,1471.1679013835105,777.0873900709656,386.0,266.79999999999995,0.0,800.4,0.0,0.0,0.0,800.4,0.0,0.0,52.8,0.0,158.4,0.0,0.0,0.0,158.4,0.0,0.0,67.46666666666667,944.5333333333333,337.3333333333333,0.0,0.0,0.0,472.26666666666665,0.0,0.0,7361.944222374516,981.5925629832689,981.5925629832689,0.0,0.0,0.0,7361.944222374516,0.0,0.0,1969.6485383135785,0.0,656.5495127711928,0.0,0.0,0.0,1969.6485383135785,0.0,0.0,2442.1387162966275,706.160592664085,147.11679013835106,0.0,0.0,0.0,36220.153732062034,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01005,Barbour County,48.844858623793414,45.01388931996648,0.0,47.29127515504949,118.18591480665349,174.43337825492318,79.73066732578884,74.0,28.330018001800177,0.0,84.99005400540054,0.0,0.0,0.0,84.99005400540054,0.0,0.0,13.2040742005235,0.0,39.6122226015705,0.0,0.0,0.0,39.6122226015705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.3171756521901,170.97562342029204,170.97562342029204,0.0,0.0,0.0,1282.3171756521901,0.0,0.0,205.24413417291476,0.0,68.41471139097159,0.0,0.0,0.0,205.24413417291476,0.0,0.0,289.5594079031725,83.72802156236312,17.443337825492318,0.0,0.0,0.0,4294.549772636209,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01007,Bibb County,71.8032576632038,46.186960334709475,13.584400098443963,62.56808849927615,113.53674322012121,337.06592633969245,170.38979582671934,35.0,41.645889444658195,0.0,124.9376683339746,0.0,0.0,0.0,124.9376683339746,0.0,0.0,13.548175031514779,0.0,40.644525094544335,0.0,0.0,0.0,40.644525094544335,0.0,0.0,3.984757362210229,55.78660307094321,19.923786811051144,0.0,0.0,0.0,27.893301535471604,0.0,0.0,1231.873663938315,164.249821858442,164.249821858442,0.0,0.0,0.0,1231.873663938315,0.0,0.0,271.5455040868585,0.0,90.51516802895283,0.0,0.0,0.0,271.5455040868585,0.0,0.0,559.5294377238895,161.79164464305236,33.706592633969244,0.0,0.0,0.0,8298.563106483229,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01009,Blount County,185.41105553417984,119.26440869495892,35.07776726322321,161.56391379651438,293.1756592590305,870.3748439992435,439.98215296400247,25.0,107.5384122098243,0.0,322.6152366294729,0.0,0.0,0.0,322.6152366294729,0.0,0.0,34.984226550521285,0.0,104.95267965156386,0.0,0.0,0.0,104.95267965156386,0.0,0.0,10.289478397212141,144.05269756096996,51.44739198606071,0.0,0.0,0.0,72.02634878048498,0.0,0.0,3180.9559029604807,424.1274537280641,424.1274537280641,0.0,0.0,0.0,3180.9559029604807,0.0,0.0,701.1873858768723,0.0,233.72912862562413,0.0,0.0,0.0,701.1873858768723,0.0,0.0,1444.822241038744,417.77992511963686,87.03748439992435,0.0,0.0,0.0,21428.628659261376,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01011,Bullock County,19.98630466494925,18.418751357894408,0.0,19.350610481291213,48.35922893388993,71.37452619918088,32.62413799958653,61.0,11.592056705670565,0.0,34.776170117011695,0.0,0.0,0.0,34.776170117011695,0.0,0.0,5.402833731649026,0.0,16.20850119494708,0.0,0.0,0.0,16.20850119494708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.6976339327057,69.95968452436077,69.95968452436077,0.0,0.0,0.0,524.6976339327057,0.0,0.0,83.98164948880385,0.0,27.99388316293462,0.0,0.0,0.0,83.98164948880385,0.0,0.0,118.48171349064025,34.25977257560682,7.137452619918088,0.0,0.0,0.0,1757.2408350238334,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01013,Butler County,38.480710139979514,35.46261522703994,0.0,37.256773848148846,93.1086312549541,137.42122418786948,62.813012158792084,72.0,22.318811881188118,0.0,66.95643564356435,0.0,0.0,0.0,66.95643564356435,0.0,0.0,10.402367133265049,0.0,31.207101399795146,0.0,0.0,0.0,31.207101399795146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.2286491162519,134.69715321550026,134.69715321550026,0.0,0.0,0.0,1010.2286491162519,0.0,0.0,161.694398500966,0.0,53.898132833655325,0.0,0.0,0.0,161.694398500966,0.0,0.0,228.11923215186334,65.96218761017735,13.742122418786948,0.0,0.0,0.0,3383.3105395053467,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01015,Calhoun County,250.0,150.0,180.0,207.840161735936,488.01417653134644,1056.0927667728379,519.8691046548472,486.0,145.0,0.0,434.99999999999994,0.0,0.0,0.0,434.99999999999994,0.0,0.0,44.0,0.0,132.0,0.0,0.0,0.0,132.0,0.0,0.0,52.8,739.2,264.0,0.0,0.0,0.0,369.6,0.0,0.0,5294.953815365108,705.9938420486811,705.9938420486811,0.0,0.0,0.0,5294.953815365108,0.0,0.0,902.0263019339621,0.0,300.6754339779874,0.0,0.0,0.0,902.0263019339621,0.0,0.0,1753.1139928429109,506.9245280509622,105.60927667728379,0.0,0.0,0.0,26001.00391794727,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01017,Chambers County,66.32948716280966,25.234044029329763,22.350153283120648,61.842492460477224,144.2449036820522,216.00640034995857,108.59252551023508,115.0,38.4711025544296,0.0,115.4133076632888,0.0,0.0,0.0,115.4133076632888,0.0,0.0,7.401986248603397,0.0,22.20595874581019,0.0,0.0,0.0,22.20595874581019,0.0,0.0,6.556044963048723,91.78462948268212,32.78022481524361,0.0,0.0,0.0,45.89231474134106,0.0,0.0,1565.0572049502664,208.67429399336885,208.67429399336885,0.0,0.0,0.0,1565.0572049502664,0.0,0.0,268.3964172784711,0.0,89.46547242615705,0.0,0.0,0.0,268.3964172784711,0.0,0.0,358.5706245809312,103.68307216798011,21.60064003499586,0.0,0.0,0.0,5318.07757661598,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
01019,Cherokee County,52.25137564554525,19.878240734718304,17.60644179360764,48.716723777430126,113.62962340936548,170.16009092342318,85.54428935665237,60.0,30.305797874416243,0.0,90.91739362324874,0.0,0.0,0.0,90.91739362324874,0.0,0.0,5.830950615517369,0.0,17.492851846552107,0.0,0.0,0.0,17.492851846552107,0.0,0.0,5.164556259458241,72.30378763241538,25.822781297291208,0.0,0.0,0.0,36.15189381620769,0.0,0.0,1232.8814139916153,164.38418853221538,164.38418853221538,0.0,0.0,0.0,1232.8814139916153,0.0,0.0,211.4305811940467,0.0,70.47686039801557,0.0,0.0,0.0,211.4305811940467,0.0,0.0,282.4657509328825,81.67684364324313,17.01600909234232,0.0,0.0,0.0,4189.341438534679,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
